Genome,ERR4301269,ERR4303136,ERR4303137,ERR4303138,ERR4303139,ERR4303140,ERR4303147,ERR4303148,ERR4303149,ERR4303150,ERR4303151,ERR4303152,ERR4303154,ERR4303155,ERR4303156,ERR4303157,ERR4303158,ERR4303159,ERR4303160,ERR4303161,ERR4303162,ERR4303163,ERR4303164,ERR4303165,ERR4303169,ERR4303170,ERR4303171,ERR4303172,ERR4303194,ERR4303195,ERR4303196,ERR4303197,ERR4303198,ERR4303199,ERR4303200,ERR4303201,ERR4303202,ERR4303216,ERR4303217,ERR4303218,ERR4303219,ERR4303221,ERR4303222,ERR4304397,ERR4304450,ERR4304451,ERR4304452,ERR4304454,ERR4304455,ERR4304456,ERR4304504,ERR4304505,ERR4304580,ERR4304669,ERR4304808,ERR4336989,ERR4647691,ERR4647692,ERR4647693,ERR4647694,ERR4647695,ERR4647696,ERR4647697,ERR4647698,ERR4647699,ERR4647712,ERR4647713,ERR4647716,ERR4835842,ERR4835843,ERR4835845,ERR4835846,ERR4835847,ERR4835848,ERR4835849,ERR4835850,ERR4835851,ERR4835852,ERR4835853,ERR4835854,ERR4835855,ERR4835856,ERR4835857,ERR4835858,ERR4835859,ERR4835860,ERR4835861,ERR4835862,ERR4835863,ERR4835864,ERR4835866,ERR4835867,ERR4835868,ERR4835869,ERR4835870,ERR4835871,ERR4835932,ERR4835933,ERR4835934,ERR4835935,ERR4835989,ERR4835990,ERR4835991,ERR4835992,ERR4835993,ERR4835994,ERR4835995,ERR4835996,ERR4836027,ERR4836028,ERR4836036,ERR4836037,ERR4836884,ERR4836885,ERR4836886,ERR4836887,ERR4836888,ERR4836889,ERR4836908,ERR4836909,ERR4836910,ERR4836911,ERR4836912,ERR4836913,ERR4836914,ERR4836915,ERR4836916,ERR4836917,ERR4836918,ERR4836919,ERR4836920,ERR4836921,ERR4836922,ERR4836923,ERR4836924,ERR4836925,ERR4836926,ERR4836927,ERR4836928,ERR4836929,ERR4836930,ERR4836932,ERR4836933,ERR4836934,ERR4836935,ERR4836936,ERR4836937,ERR4836938,ERR4836939,ERR4836940,ERR4836941,ERR4836942,ERR4836944,ERR4836945,ERR4836946,ERR4836947,ERR4836948,ERR4836949,ERR4836950,ERR4836951,ERR4836953,ERR4836954,ERR4836956,ERR4836957,ERR4836958,ERR4836959,ERR4836960,ERR4836961,ERR4836962,ERR4836963,ERR4836964,ERR4836965,ERR4836966,ERR4968552,ERR4968553,ERR4968554,ERR4968555,ERR4968556,ERR4968557,ERR4968558,ERR4968559,ERR4968560,ERR4968562,ERR4968563,ERR4968564,ERR4968565,ERR4968566,ERR4968567,ERR4968568,ERR4968569,ERR4968570,ERR4968571,ERR4968572,ERR4968574,ERR4968575,ERR4968576,ERR4968577,ERR4968578,ERR4968579,ERR4968580,ERR4968581,ERR4968582,ERR4968584,ERR4968585,ERR4968586,ERR4968587,ERR4968588,ERR4968589,ERR4968590,ERR4968592,ERR4968593,ERR4968594,ERR4968595,ERR4968596,ERR4968597,ERR4968598,ERR4968599,ERR4968600,ERR4968601,ERR4968602,ERR4968603,ERR4968604,ERR4968605,ERR4968606,ERR4968608,ERR4968671,ERR4968673,ERR4968678,ERR4968681,ERR4968687,ERR4968704,ERR4968705,ERR4968711,ERR4968712,ERR4969053,ERR4969151,ERR4992195,ERR4992208,ERR4993373,ERR4993378,ERR4993381,ERR4993382,ERR4993662
ERR4836966_bin.39,1363,2927,6349,8656,1463,3192,15989,8231,5593,8804,14659,4056,3764,30232,39932,8760,72321,2402,5627,28641,6881,5908,25747,3856,2763,4526,4968,4111,6207,4192,7433,77292,101973,11189,8068,7770,10072,5165,14497,10354,8776,4072,14894,14418,13961,7030,28310,56457,41172,11407,18433,379429,9266,7714,18281,76309,0,17,0,20,281,0,9,765,137,3,128,931,896,1257,25,4705,1925,290,557,992,3375,8742,1312,1537,2,2535,1848,1880,14640,6805,2593,2672,2393,3823,2583,6644,2271,5031,5352,2074,12055,2784,5368,3373,4704,9208,1675,3022,6605,2646,9898,5065,5165,2194,25320,19659,1880,2498,3395,4951,4884,3154,47192,61,927,0,2572,738,1134,493,624,1257,1287,703,1987,1209,1635,4021,4754,4790,11088,974,2209,1017,2020,1993,2137,2394,2246,2028,39679,7891,8311,11103,9137,2158,4753,3251,4493,4440,34811,2094,15602,1275,1437,6363,2117,3491,3456,1269,2116,15267,2484,8177,4282,47859,365041,103,815,8486,817,6604,1270,3401,2241,3030,857,216,14123,1814,1758,9101,1387,2075,1839,1990,1961,16501,2453,2534,9886,1452,7959,1488,3974,1524,1957,16278,7632,3003,6861,1957,5403,7165,9664,5373,3692,1886,7868,2115,2519,3585,20246,20963,6778,1117,4407,4486,15983,36555,6990,26751,2915,7377,9465,21726,5981,190771,22918,26215,2814,4396,19896,5522,9229,24939,31541
cecum.ERR4304454bin.106,0,38,2,11755,2,0,1522,16,28,929,46,14,13,0,7621,11,2305,119,21,13,40,16,11,11562,63,28,32,0,16,30,30,38,9,18,20,20,28,183,975,8,16,1233,103,26,56,6,43,3515043,6,20,7486,9448,167,1670,3,136,0,10,0,0,0,0,0,38,0,0,2,613,7,1,19,288,2,1,470,33,429,200,248,2,0,7,23,14,8,352,1,6,8,11,8,17,5,2,1,12,1456,531,69,27,9,5,396,114,6,1,182,2,119,9,10,12,4,295,7,279,6,8,2,0,320,0,26,16,1,32,86,22,197,1,179,2,53,16,2,93504,9,14,41,10,219,0,4,0,7,2,9,450,20,103216,4,4,10,1,14,1852,35913,6,4,29,9,22,3,8,10,2,9,726,14,57,1220,4135,9325,5,4,0,82,0,2,325,5,3,0,4,41,2,39553,2718,6,196,46,4,129,569,26,8,762,9,555,0,29,126,8,1441,8,12,85,11,2,24,78,118,26,34,15,5,32,110,5410,19,16,52,55,150,76,143,75,14240,3,222,85,216,48,17544,134,2,16,2449,18,18,5,14,110
cecum.ERR4304454bin.104,609,0,320,3068,31,0,326,834,15262,86,337,1052,16,1383,10220,1,12444,12,0,868,4,13,270,277,18,5382,0,4,2682,34,34,25165,59314,2,668,54,5039,13,3440,7,9,75315,2794,11093,1,9,3597,308426,25361,794,614,45068,230,2271,34,4090,0,0,0,0,80,0,0,170,4,1,0,340,185,0,14,176,10,495,31,105,161,68,590,0,0,8,2155,3960,3260,513,6575,26,76,1072,1130,272,17,1513,1039,10,1701,573,658,48,22,1,112,201,22,15,739,459,630,87,8469,3408,13,90,1,1120,32,1822,3863,1,400,0,2040,173,315,106,292,54,40,381,61,41,174,34,214,4885,1054,35,19,12,114,79,29,76,2943,0,458,1971,604,27384,4349,41,25,23,40,2028,14409,19,528,42,3,33,696,21,4,25,50,913,11727,26,0,260,11636,0,238,294,123,101,562,33,1577,48,4,3,554,332,68,7523,182,366,126,2,114,9906,1183,178,956,674,696,4715,95,15,20,28957,172,315,22,6,2341,25,1927,57,488,20,141,1560,17,9,4907,1186,5,125,16,174,9064,2851,25,4306,23,2129,164,3852,376,54461,11,11724,2,3867,7108,103,1572,3118,12325
cecum.ERR4336989bin.58,3696,375,10455,7781,12383,10522,4729,6559,10389,388,5479,1170,900,5411,9465,812,11265,1871,1457,14974,20251,5501,23916,1552,703,3921,5587,2425,11887,1975,5031,28086,46565,4726,2826,2413,8680,2110,39863,8119,3113,2551,2130,36298,2083,3909,25301,18422,3624,69250,80401,17877,3851,10165,5594,126547,0,2,2,7,545,0,1,190,27,0,23,69,604,360,2,2642,752,265,536,602,683,960,3381,410,0,594,565,561,13159,6257,667,2345,1651,810,732,7613,3015,797,1114,434,11333,12018,5024,1156,1282,1750,778,1293,2870,954,28181,11414,1382,866,13474,26116,8770,1960,3138,1504,8972,11832,26467,25,496,1,1972,252,582,184,1401,252,223,1555,316,339,585,4202,7523,8247,24356,529,9988,447,849,2024,1320,2773,4285,676,13037,13278,15905,3319,16533,1016,1433,1815,821,913,1079,818,5924,646,1119,821,5297,897,8017,481,1027,29743,20541,2450,3711,65680,10611,22,663,2090,903,1753,3348,1327,4460,1294,317,273,2752,1455,457,3261,676,430,861,450,1278,5523,1993,689,6286,4902,10592,66707,1511,1503,3189,9722,1037,1142,1371,760,16234,1035,12463,998,1989,645,1831,673,1321,2318,10486,18635,5346,935,923,3448,16855,17407,1872,11837,2364,4000,4306,9968,2317,40963,6872,49958,1754,12166,15670,1602,30397,14644,28964
ERR4968593_bin.27,6114,206,13505,3750,150,102144,5224,14503,80728,193,29137,21345,491,6485,4168,6624,25456,5642,700,48098,58422,853,76800,3698,167,65372,200232,2584,31150,6353,2626,8467,2134,806,18807,1600,30602,50847,18692,69581,83858,91061,60041,371954,3375,835,59787,15748,195504,71714,494768,28642,10483,19160,74260,78451,0,2,0,127,2284,0,3,157,35,0,27,25,6988,56476,63,51534,126562,1763,738,178,439,6908,22211,4027,4,264,1263,5866,13544,6303,13405,772,11773,36272,593,20884,2161,46455,31045,1467,11842,1135,14089,209800,53215,3781,10092,35982,888,1798,24628,31245,61800,410,3453,85780,46071,1065,47780,143606,63672,29056,21588,9,466,0,2382,4516,934,59,4002,4138,3679,3744,192,14379,14219,9487,29095,995,4912,1385,6414,355,2699,5954,109,1920,192051,1520,13631,9670,10569,842,5854,13941,476,503,142,38916,5563,1011,11807,1136,174,161,25861,2429,2523,3790,288,23386,35215,66996,28459,23990,78985,9452,372,3879,5206,3015,3533,1021,13576,7605,15381,100,10862,4017,1327,2437,11655,316,883,579,5649,11239,16219,70393,13766,11233,10560,654,990,57428,7679,2120,21347,815,730,730,15346,1582,178529,701,39701,156,6367,54254,481,6571,25676,85272,453,512,82,14079,17841,6121,1606,17371,6560,35016,173058,54906,2437,14695,543540,23636,629,70029,66024,341923,58095,80594,634870
cecum.ERR4304454bin.101,76,200,16981,154,111,131,1041,3239,325,95,396,315,35,597,249,136,12918,61,139,346,5164,1054,1442,325,50,400,501,5421,449,5374,303,6328,16893,628,1231,769,2912,18346,1180,633,6200,336,419,916,231,211,1775,80517,4721,2060,1171,43144,643,226,583,806,0,0,0,2,8,0,0,165,8,0,0,14,399,12,6,218,335,118,65,599,155,104,287,57,0,45,3131,355,6672,1630,1068,33,159,786,2111,4026,233,4461,202,527,126,160,274,73,9888,171,117,144,429,6254,15042,1976,1288,103,826,3066,177,232,233,490,511,223,22697,1,6,0,79,54,21,23,43,28,55,153,199,83,176,2938,891,159,8618,86,651,40,246,215,156,108,131,111,180,128,781,8658,13852,161,317,96,62,123,8766,144,2264,84,156,69,2085,507,360,186,595,1160,294,706,470,1814,20686,11,32,2034,47,59,187,92,1742,270,49,11,206,355,116,4415,3223,221,662,104,346,9403,501,5033,1474,443,4996,265,173,323,137,9315,309,483,82,22,812,574,725,414,1038,187,197,167,123,42,34726,657,145,73,401,335,935,188,159,4836,611,1086,563,1265,394,2083,672,2130,102,1031,814,566,793,2284,31062
ERR4836966_bin.38,891,9,4356,5655,9,38,1697,10311,280,8,1943,69,12,7222,175,15,5262,28,155,5432,15065,247,4173,284,50,254,115,417,557,95,307,5802,8416,116,698,50,5467,205,35529,513,885,172,1220,418,1402,87,2110,45061,1256,9801,611,36277,809,4118,700,18685,0,0,0,0,2,0,0,46,0,0,1,5,31,1078,10,2038,265,47,92,166,167,601,101,64,0,51,115,294,15731,3364,178,40,150,139,57,835,68,242,35,14,8659,632,282,161,478,156,173,539,60,215,18889,314,319,317,1749,7884,343,97,367,400,425,4931,23257,3,147,0,1072,74,1273,35,70,46,81,2255,81,126,85,316,207,2311,440,110,6938,2,218,980,10,126,212,9,7241,3743,3674,5277,23052,208,13,6,26,131,10153,59,15229,18,40,78,504,110,194,687,110,610,348,314,191,75857,61706,5,44,776,62,2451,2207,283,537,208,9,3,1109,183,104,3988,99,1085,99,10,256,12386,224,761,2608,411,11680,2309,125,4960,34,9862,186,14,84,18,10067,470,7431,186,254,14,605,243,75,21,20895,900,20,72,12,5252,1027,4750,124,13429,236,1225,769,13338,328,21681,304,1658,39,2142,7699,334,19292,1374,3022
ERR4968678_bin.68,12044,7136,20326,184468,180,651,31982,20602,20616,4433,20055,10376,353,32987,30190,456,84078,9448,761,181917,14539,12286,111009,15518,7326,31748,7269,13923,57328,2240,18340,737763,9632,5155,24757,14771,18966,3669,6936,54557,68944,15661,33392,35229,12618,1390,311554,16961,109116,44847,51780,30921,8004,13233,55208,52137,0,51,2,19,422,0,9,274,539,19,137,175,4643,2897,102,39700,6991,1391,3276,716,689,8359,8088,3001,11,2676,15267,8537,94230,88526,17080,5154,19440,14422,37840,11979,10372,12744,16193,447,16257,10022,20845,8945,7581,4753,4993,68888,6918,6970,117919,28070,29664,2470,71358,59929,46906,446,58472,38264,27058,21163,110783,100,994,4,1915,42259,4902,815,3437,8190,23571,7320,1903,10654,40333,107978,15019,3370,285558,5643,26895,193,33857,14664,24932,2379,8678,2533,21553,41316,13524,11475,99785,47010,6972,1106,1891,20144,56309,1170,8771,1460,1001,1184,98235,19911,10275,8130,2050,29480,16119,36228,14882,41621,91327,125,1041,22698,31620,5648,27727,1678,5580,24273,2580,102,23848,6380,11295,10185,7963,6469,7414,3051,4846,22713,16988,7370,46832,26925,51020,25625,5523,2870,4738,11461,1699,1123,1866,291,92822,3142,30919,2118,23872,578,18208,21739,1305,4267,17015,175508,4221,2432,11872,165490,27441,17412,3610,165800,131222,60838,96716,186780,7267,72808,10769,90182,322,41536,52721,5539,52546,45892,79283
cecum.ERR4336989bin.57,1781,491,3336,3106,48,99,16945,3910,2343,0,468,3343,1221,14852,2690,79,5837,1694,8,4562,64673,377,42562,2099,254,2911,2598,1879,4781,11,2117,22827,1203,209,43280,1874,92423,476,782,96888,4792,3889,1365724,4047,1271,51,29410,2178,71172,11924,10992,8433,246,1623,138237,88612,0,6,0,0,78,0,0,32,24,14,18,14,8639,185,16,137265,1055,738,1974,14,201,1424,2118,207,0,52,20917,3448,13709,34028,8099,1024,2450,3737,82015,12652,1353,1028,815,1191,17696,3652,74144,975,1999,370,615,836,151,4222,5673,33829,2997,6063,114343,20834,6337,129,6646,3865,940,4518,6075,242,80,0,1469,616,6930,19,1516,408,502,1765,93,2315,1901,78527,2387,1707,20301,1409,18264,9,1513,2381,5053,614,2386,149,492610,1756,2789,39725,3932,7782,991,463,2629,1867,12633,42,1192,570,429,117,3403,1628,1385,629,149,154218,4698,6140,2355,782841,9328,18,59,401,9260,58233,467,364,1246,106170,396,3,1075,1158,2171,1136,2542,966,2078,108,329,10074,1739,9377,21996,2028,15573,1402,1667,614,697,194847,1357,553,426,26,3537,41,25315,83,15012,21,2415,7092,10,4943,4941,7283,63,63,112,4896,2279,3509,513,5005,21083,82616,28753,197028,2909,8951,133,545820,367,5674,3601,808,6190,7393,6338
cecum.ERR4304450bin.81,18362,40776,35535,39075,355770,60058,87603,100209,99028,24517,90682,150231,287789,342200,39869,106098,44163,49798,159751,159454,261864,204291,57061,209071,150591,169321,51305,105201,158196,672756,206380,222777,45737,1042065,236725,496578,158216,267532,266431,292622,359075,207337,273446,164733,862980,433896,201751,209597,294014,343331,2249761,204939,1952360,67255,155821,358690,22,12,3,462,3359,2,189,480,56,8,87,75,7765,34496,193,19478,45217,9399,52766,68912,57239,32975,29837,85045,45,190551,26364,95543,146748,85806,38202,112674,35765,52335,53320,28593,128968,69386,64149,48225,58341,96676,59885,173996,62474,68131,31108,86128,181458,31172,106555,68547,46417,131268,67678,185483,82325,94025,136226,93798,101694,338449,73524,1313,3199,4,11487,22067,9812,77523,18563,32218,21657,20387,31786,26881,25512,74734,112250,14962,364043,38390,21734,229199,48390,60626,249154,70569,127767,13369,36623,38030,37244,20614,38633,75737,103083,220905,334701,46020,41525,126769,109266,58365,53812,14450,105058,131547,115904,61566,231356,98794,519211,157849,176637,208816,69107,4057,10228,8579,18250,12124,30344,18749,17650,15443,100364,5241,27471,21833,7975,19862,54833,22952,42058,6811,44776,30269,26219,62488,36735,38887,16815,45278,107278,65878,103515,41371,141027,76596,9673,267784,154587,200075,41611,277552,315137,83007,186047,216688,710750,65988,69578,121438,255980,200848,345067,207814,116693,174592,369806,59217,141386,311688,481634,113095,267558,166752,1212243,100943,68156,90229,91758,160307,201530,192902,263361
