Animal code,Trial,Pen,Sampling time,Sampling date,Chicken body weight,Salmonella,Campylobacter,Clostridium,CRP,HPT,LPS,COR
CA01.01,CA,CA01,Day 7,11/02/2019,146,NO,NO,NO,1.8,19.72,8.02,9.37
CA01.02,CA,CA01,Day 7,11/02/2019,173,NO,NO,NO,2.93,26.31,8.59,9.1
CA01.03,CA,CA01,Day 7,11/02/2019,176,NO,NO,NO,0,23.49,7.85,8
CA01.04,CA,CA01,Day 7,12/02/2019,201.6,NO,NO,NO,0.2,16.15,9.75,7.66
CA01.05,CA,CA01,Day 7,12/02/2019,202.4,NO,NO,NO,0.17,59.79,7.17,8.21
CA01.06,CA,CA01,Day 7,12/02/2019,239.4,NO,NO,NO,1.01,55.11,8.66,9.02
CA01.07,CA,CA01,Day 21,25/02/2019,920.8,NO,NO,NO,0,54.59,11.12,9.27
CA01.08,CA,CA01,Day 21,25/02/2019,963.4,NO,NO,NO,0,78.35,8.2,19.48
CA01.09,CA,CA01,Day 21,25/02/2019,995.4,NO,NO,NO,0,31.75,7.09,11.6
CA01.10,CA,CA01,Day 21,26/02/2019,1095.2,NO,NO,NO,0,101.77,6.65,9.58
CA01.11,CA,CA01,Day 21,26/02/2019,1100,NO,NO,NO,0.47,80.34,6.65,7.68
CA01.12,CA,CA01,Day 21,26/02/2019,1045.4,NO,NO,NO,0,38.75,8.32,8.53
CA01.13,CA,CA01,Day 35,11/03/2019,2766.4,NO,NO,NO,0.76,62.04,15.67,18.34
CA01.14,CA,CA01,Day 35,11/03/2019,2729.2,NO,NO,NO,0.64,46.83,14,26.3
CA01.15,CA,CA01,Day 35,12/03/2019,2519.8,NO,NO,NO,0.66,48.42,14.66,16.65
CA01.16,CA,CA01,Day 35,12/03/2019,2350.4,NO,NO,NO,0.51,53.95,15.17,15.49
CA01.17,CA,CA01,Day 35,13/03/2019,2749.6,NO,NO,NO,0.67,45.6,14.25,18.97
CA01.18,CA,CA01,Day 35,13/03/2019,2844.8,NO,NO,NO,0.67,51.23,16.45,17.86
CA02.01,CA,CA02,Day 7,11/02/2019,136,NO,NO,NO,1.04,18.95,8.76,7.66
CA02.02,CA,CA02,Day 7,11/02/2019,183.2,NO,NO,NO,0.51,18.4,5.84,7.89
CA02.03,CA,CA02,Day 7,11/02/2019,156.6,NS,NS,NS,0,21.79,9.51,6.96
CA02.04,CA,CA02,Day 7,12/02/2019,239.6,NO,NO,NO,0.65,17.68,7.34,8.88
CA02.05,CA,CA02,Day 7,12/02/2019,216,NO,NO,NO,0.43,36.64,7.58,6.48
CA02.06,CA,CA02,Day 7,12/02/2019,226.2,NO,NO,NO,0,27.15,7.34,6.85
CA02.07,CA,CA02,Day 21,25/02/2019,723,NO,NO,NO,0,40.06,7.98,7.57
CA02.08,CA,CA02,Day 21,25/02/2019,695.2,NO,NO,NO,0,39.76,7.31,9.88
CA02.09,CA,CA02,Day 21,25/02/2019,898.6,NO,NO,NO,0,31.76,10.45,7
CA02.10,CA,CA02,Day 21,26/02/2019,891.6,NO,NO,NO,0.1,39.11,12.94,8.88
CA02.11,CA,CA02,Day 21,26/02/2019,883.2,NO,NO,NO,0,31.87,7.87,9.29
CA02.12,CA,CA02,Day 21,26/02/2019,998.2,NO,NO,NO,0,40.16,6.76,6.5
CA02.13,CA,CA02,Day 35,11/03/2019,2191.6,NO,NO,NO,0.87,51.88,15.67,22.86
CA02.14,CA,CA02,Day 35,11/03/2019,2221.8,NO,NO,NO,0.73,45.84,14.75,10.96
CA02.15,CA,CA02,Day 35,12/03/2019,2366.8,NO,NO,NO,0.62,93.19,15.33,7.74
CA02.16,CA,CA02,Day 35,12/03/2019,2204.4,NO,NO,NO,0.58,47.26,15,8.55
CA02.17,CA,CA02,Day 35,13/03/2019,2009.2,NO,NO,NO,0.65,109.31,16.19,8.98
CA02.18,CA,CA02,Day 35,13/03/2019,2431.6,NO,NO,NO,0.66,46.19,16.45,8.08
CA03.01,CA,CA03,Day 7,11/02/2019,166.8,NO,NO,NO,25.84,15.47,8.66,9.35
CA03.02,CA,CA03,Day 7,11/02/2019,192.8,NO,NO,NO,0.1,22.6,8.63,6.6
CA03.03,CA,CA03,Day 7,11/02/2019,157.4,NS,NS,NS,1.34,40.81,5.61,7.48
CA03.04,CA,CA03,Day 7,12/02/2019,243.8,NO,NO,NO,0.76,15.66,13.49,14.23
CA03.05,CA,CA03,Day 7,12/02/2019,210.8,NO,NO,NO,0.06,423.68,10.03,8.82
CA03.06,CA,CA03,Day 7,12/02/2019,201.4,NO,NO,NO,4.35,29.3,6.37,7.78
CA03.07,CA,CA03,Day 21,25/02/2019,920.2,NO,NO,NO,0,34.19,7.53,6.64
CA03.08,CA,CA03,Day 21,25/02/2019,964.4,NO,NO,NO,0,32.41,7.98,7.36
CA03.09,CA,CA03,Day 21,25/02/2019,1018,NO,NO,NO,0,33.68,11.35,7.47
CA03.10,CA,CA03,Day 21,26/02/2019,1082,NO,NO,NO,0,34.14,6.42,9.15
CA03.11,CA,CA03,Day 21,26/02/2019,930.2,NO,NO,NO,0,38.49,12.48,6.07
CA03.12,CA,CA03,Day 21,26/02/2019,1049.4,NO,NO,NO,0.31,45.86,5.76,6.92
CA03.13,CA,CA03,Day 35,11/03/2019,1966.6,NO,NO,NO,0.46,52.35,14.91,8.88
