Genome,ERR4301269,ERR4303136,ERR4303137,ERR4303138,ERR4303139,ERR4303140,ERR4303147,ERR4303148,ERR4303149,ERR4303150,ERR4303151,ERR4303152,ERR4303154,ERR4303155,ERR4303156,ERR4303157,ERR4303158,ERR4303159,ERR4303160,ERR4303161,ERR4303162,ERR4303163,ERR4303164,ERR4303165,ERR4303169,ERR4303170,ERR4303171,ERR4303172,ERR4303194,ERR4303195,ERR4303196,ERR4303197,ERR4303198,ERR4303199,ERR4303200,ERR4303201,ERR4303202,ERR4303216,ERR4303217,ERR4303218,ERR4303219,ERR4303221,ERR4303222,ERR4304397,ERR4304450,ERR4304451,ERR4304452,ERR4304454,ERR4304455,ERR4304456,ERR4304504,ERR4304505,ERR4304580,ERR4304669,ERR4304808,ERR4336989,ERR4647691,ERR4647692,ERR4647693,ERR4647694,ERR4647695,ERR4647696,ERR4647697,ERR4647698,ERR4647699,ERR4647712,ERR4647713,ERR4647716,ERR4835842,ERR4835843,ERR4835845,ERR4835846,ERR4835847,ERR4835848,ERR4835849,ERR4835850,ERR4835851,ERR4835852,ERR4835853,ERR4835854,ERR4835855,ERR4835856,ERR4835857,ERR4835858,ERR4835859,ERR4835860,ERR4835861,ERR4835862,ERR4835863,ERR4835864,ERR4835866,ERR4835867,ERR4835868,ERR4835869,ERR4835870,ERR4835871,ERR4835932,ERR4835933,ERR4835934,ERR4835935,ERR4835989,ERR4835990,ERR4835991,ERR4835992,ERR4835993,ERR4835994,ERR4835995,ERR4835996,ERR4836027,ERR4836028,ERR4836036,ERR4836037,ERR4836884,ERR4836885,ERR4836886,ERR4836887,ERR4836888,ERR4836889,ERR4836908,ERR4836909,ERR4836910,ERR4836911,ERR4836912,ERR4836913,ERR4836914,ERR4836915,ERR4836916,ERR4836917,ERR4836918,ERR4836919,ERR4836920,ERR4836921,ERR4836922,ERR4836923,ERR4836924,ERR4836925,ERR4836926,ERR4836927,ERR4836928,ERR4836929,ERR4836930,ERR4836932,ERR4836933,ERR4836934,ERR4836935,ERR4836936,ERR4836937,ERR4836938,ERR4836939,ERR4836940,ERR4836941,ERR4836942,ERR4836944,ERR4836945,ERR4836946,ERR4836947,ERR4836948,ERR4836949,ERR4836950,ERR4836951,ERR4836953,ERR4836954,ERR4836956,ERR4836957,ERR4836958,ERR4836959,ERR4836960,ERR4836961,ERR4836962,ERR4836963,ERR4836964,ERR4836965,ERR4836966,ERR4968552,ERR4968553,ERR4968554,ERR4968555,ERR4968556,ERR4968557,ERR4968558,ERR4968559,ERR4968560,ERR4968562,ERR4968563,ERR4968564,ERR4968565,ERR4968566,ERR4968567,ERR4968568,ERR4968569,ERR4968570,ERR4968571,ERR4968572,ERR4968574,ERR4968575,ERR4968576,ERR4968577,ERR4968578,ERR4968579,ERR4968580,ERR4968581,ERR4968582,ERR4968584,ERR4968585,ERR4968586,ERR4968587,ERR4968588,ERR4968589,ERR4968590,ERR4968592,ERR4968593,ERR4968594,ERR4968595,ERR4968596,ERR4968597,ERR4968598,ERR4968599,ERR4968600,ERR4968601,ERR4968602,ERR4968603,ERR4968604,ERR4968605,ERR4968606,ERR4968608,ERR4968671,ERR4968673,ERR4968678,ERR4968681,ERR4968687,ERR4968704,ERR4968705,ERR4968711,ERR4968712,ERR4969053,ERR4969151,ERR4992195,ERR4992208,ERR4993373,ERR4993378,ERR4993381,ERR4993382,ERR4993662
ERR4836966_bin.39,0,0,0,0,0,0,0,0,0,0,0,0,0,39.38,64.61,0,76.6,0,0,0,0,0,33.05,0,0,0,0,0,0,0,0,61.32,87.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.24,0,0,0,92.97,0,0,0,73.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.35,0,0,0,0,0,0,0,0,0,56.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,99.93,0,0,0,0,0,0,0,0,0,0,0,32.21,0,0,0,0,0,0,0,0,35.74,0,0,0,0,0,0,0,0,0,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,0,0,0,0,0,0,66.55,0,50.14,0,0,0,0,0,93.83,0,0,0,0,0,0,0,0,0
ERR4836966_bin.38,0,0,39.82,46.59,0,0,0,65.87,0,0,0,0,0,46.92,0,0,41.44,0,0,44.37,80.95,0,35.43,0,0,0,0,0,0,0,0,44.19,64.5,0,0,0,41.99,0,90.55,0,0,0,0,0,0,0,0,97.31,0,64.36,0,94.44,0,37.1,0,81.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,31.85,0,0,0,0,0,0,0,0,0,0,63.03,0,0,0,0,0,0,0,0,0,85.34,0,0,0,0,57.04,0,0,0,0,0,41.87,87.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.66,0,0,0,0,0,0,0,54.26,33.67,32.98,47.37,89.79,0,0,0,0,0,68.56,0,77.33,0,0,0,0,0,0,0,0,0,0,0,0,94.62,99.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.39,0,0,0,0,0,74.6,0,0,0,0,72.42,0,0,44.01,0,65.11,0,0,0,0,68,0,56.25,0,0,0,0,0,0,0,88.63,0,0,0,0,44.62,0,41.9,0,78.25,0,0,0,74.59,0,84.82,0,0,0,0,59.25,0,88.48,0,0
ERR4303151bin.6,88.11,96.68,90.2,43.66,0,0,36.75,60.34,95.04,0,99.99,0,98.2,95.43,0,0,68.45,0,94.64,95.52,95.38,95.47,61.99,99.6,0,87.29,0,99.78,0,0,99.46,96.5,0,0,0,0,43.93,0,80.47,99.68,96.31,85.64,95.34,99.24,0,0,95.58,90.15,99.94,99.26,96.25,95.3,99.88,94.66,96.42,62.16,0,0,0,0,45.1,0,0,0,0,0,0,0,70.06,0,0,93.07,82.94,0,0,0,0,57.73,43.77,0,0,0,0,57.09,99.59,61.19,55.28,0,0,0,94.77,57.96,0,39.54,98.64,0,46.57,0,89.47,0,44.23,99.75,77.66,93.84,43.72,0,93.8,98.77,98.53,0,99.52,98.61,97.55,0,89.97,92.42,99.7,82.09,93.91,0,0,0,0,36.86,32.7,0,30.18,65.08,31.92,65.43,97.85,70.77,58.8,95.17,52.3,0,95.61,0,0,40.62,83.88,60.61,0,0,94.19,58.96,89.58,0,0,0,56.11,92.89,99.33,0,0,96.28,0,72.21,0,0,0,0,90.3,95.76,77.05,0,0,98.86,71.91,97.72,84.73,96.75,68.21,0,33.32,0,84.19,0,67.29,0,0,77.94,0,0,0,53.9,0,0,45.63,0,0,99.73,0,33.16,0,99.54,0,46.17,53.24,83.67,0,0,44.14,53.11,98.82,0,0,0,97.25,0,38.94,0,90.25,0,95.4,0,0,0,0,99.4,95.4,0,0,99.46,95.28,0,0,83.1,98,95.99,94.8,98.45,0,95.58,94.95,0,0,85.48,82.14,98.4,95.44,95.54,96.58
ERR4303159bin.34,42.83,0,0,0,0,0,0,62.63,0,0,0,98.64,0,0,0,0,0,100,0,98.72,0,0,0,0,0,98.31,0,0,0,0,0,0,0,0,99.55,0,0,63.76,0,99.28,88.72,0,0,99.23,0,0,0,0,99.44,0,0,50.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.81,0,0,0,0,0,93.07,0,0,0,0,0,0,84.3,0,0,0,0,79.82,0,0,0,0,79.81,0,0,0,51.26,0,0,0,0,0,0,0,0,0,97.34,0,0,51.41,0,0,0,99.69,0,95.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.96,0,0,0,0,0,0,0,0,0,55.54,0,0,0,0,78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,0,39.48,0,0,0,42.66,0,0,0,0,0,79.88,0,0,0,0,0,99.99,0,0,87.62,0,0,0,0,0,0,0,0,0
ERR4304455bin.34,0,0,45.88,59.36,0,97.84,0,0,0,0,34.66,0,0,43.01,0,0,0,0,0,0,0,0,0,34.14,0,0,0,0,84.09,0,61.14,84.86,52.65,0,0,0,0,0,0,96.03,0,0,0,48.73,0,0,81.73,94.65,100,66.73,0,0,99.89,92.59,0,53.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.61,0,0,0,0,85.79,0,0,0,0,47.44,76.45,80.46,0,47.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45,0,0,0,0,49.87,86.82,0,0,0,0,93.39,0,0,0,0,0,0,0,0,0,0,33.62,93.58,52.11,0,0,0,0,0,0,0,0,0,83.73,0,0,0,0,0,0,0,55.14,75.98,0,0,99.39,0,30.58,0,0,0,0,99.33,0,0,0,0,0,0,0,98.52,92.69,0,65.24,63.63,0,0,0,0,0,40.15,0,0,0,0,0,0,43.59,0,0,0,0,68.39,0,0,0,0,0,0,81.92,0,93.27,63.19,76.6,0,0,0,0,0,0,87.33,0,51.55,0,0,0,92.35,99.72,0,0,0,64.38,0,0,0,92.26,92.91,0,0,0,97.31,0,0,97.95,0,45.61,38.99,99.69,0,88.03,59.44,0,0,0,0
ERR4968678_bin.68,35.1,0,68.85,91.01,0,0,64.27,40.26,36.09,0,78.08,0,0,58.28,0,0,92.04,0,0,87.09,42.16,0,93.46,0,0,57.49,0,35.06,62.41,0,0,94.8,30,0,49.92,0,34.85,0,0,66.82,64.26,0,0,39.47,0,0,94.01,37.78,91.42,32.69,0,35.55,0,0,72.59,40.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.68,0,0,0,0,0,0,31.43,0,0,0,41.03,0,75.05,87.96,0,0,0,38.44,76.62,33.72,0,0,36.95,0,42.09,0,52.98,0,0,0,0,58.82,0,0,90.72,52.48,62.17,0,88.6,84.15,80.71,0,62.72,53.2,35.38,0,88.18,0,0,0,0,81.51,0,0,0,30.74,68.5,0,0,0,83.15,90.1,0,0,90.22,0,71.95,0,57.24,30.61,0,0,0,0,55.55,80.48,30.75,39.35,90.55,37.49,0,0,0,60.18,65.38,0,0,0,0,0,92.31,0,0,0,0,54.46,0,30.74,0,40.39,90.6,0,0,66.82,74.34,0,59.57,0,0,67.8,0,0,50.76,0,33.22,33.93,0,0,0,0,0,60.8,50.17,0,78.72,68.85,86.43,58.92,0,0,0,0,0,0,0,0,78.41,0,54.51,0,46.52,0,0,0,0,0,0,88.07,0,0,0,74.14,41.8,31.51,0,99.45,68.72,62.67,56.26,94.09,0,78.23,0,87.17,0,72.83,75.13,0,62.77,61.39,86.84
ERR4303197bin.62,30.21,0,0,0,0,0,0,70.48,0,0,0,0,0,0,0,0,0,0,0,93.79,0,0,0,0,0,0,0,0,0,0,0,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.94,0,0,0,0,0,0,0,0,0,0,82.94,0,0,0,0,96.98,0,0,0,71.39,0,0,0,0,0,0,0,0,0,0,0,62.51,95.04,0,0,0,0,0,0,0,0,0,0,0,0,37.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.17,0,0,0,0,0,0,0,30.43,86.92,0,0,0,0,0,78.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.94,0,36.64,0,96.29,0,0,0,0,0,0,0,0,0,0,0,53.95,0,99.77,0,0,0,0,0,0,96.36,0,0,0,0,44.03,93.44,0,0,0,0,0,99.01,0,0,0,0,0,82.65,0,0,0,0,0
ERR4303137bin.30,0,0,99.99,0,0,0,50.02,95.87,0,0,0,0,0,99.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.52,0,0,0,85.85,0,0,0,0,0,0,0,0,0,0,93.13,0,0,0,0,0,94.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,0,0,0,0,0,0,0,0,0,0,0,66.98,87.29,0,0,0,0,0,0,99.85,0,0,0,98.14,0,0,0,0,0,0,0,0,0,0,0,0,0,33.73,0,0,0,0,0,0,0,0,0,0,0,0,91.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.57,0,0,0,0,0,0,0,0,0,0,0,0,92.24,0,0,0,0,0,0,0,0,0,93.5,0,0,0,0,0,0,99.77,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,89.67,0,44.69,0,44.3,0,0,0,0,0,0,46.29,0,0
ERR4303137bin.34,0,0,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.95,0,94.48,0,0,0,0,0,0,0
ERR4303137bin.35,0,0,99.99,0,0,0,58.18,0,0,0,0,0,0,91.19,0,0,0,0,0,0,0,0,0,40.07,0,0,0,0,0,0,0,0,88.36,0,86.14,0,0,0,0,0,0,0,0,0,0,0,0,89.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.68,0,0,0,0,0,37.09,0,0,0,0,0,0,0,57.23,0,0,0,0,0,0,67.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.49,47.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
