Genome	ERR4301269	ERR4303136	ERR4303137	ERR4303138	ERR4303139	ERR4303140	ERR4303147	ERR4303148	ERR4303149	ERR4303150	ERR4303151	ERR4303152	ERR4303154	ERR4303155	ERR4303156	ERR4303157	ERR4303158	ERR4303159	ERR4303160	ERR4303161	ERR4303162	ERR4303163	ERR4303164	ERR4303165	ERR4303169	ERR4303170	ERR4303171	ERR4303172	ERR4303194	ERR4303195	ERR4303196	ERR4303197	ERR4303198	ERR4303199	ERR4303200	ERR4303201	ERR4303202	ERR4303216	ERR4303217	ERR4303218	ERR4303219	ERR4303221	ERR4303222	ERR4304397	ERR4304450	ERR4304451	ERR4304452	ERR4304454	ERR4304455	ERR4304456	ERR4304504	ERR4304505	ERR4304580	ERR4304669	ERR4304808	ERR4336989	ERR4647691	ERR4647692	ERR4647693	ERR4647694	ERR4647695	ERR4647696	ERR4647697	ERR4647698	ERR4647699	ERR4647712	ERR4647713	ERR4647716	ERR4835842	ERR4835843	ERR4835845	ERR4835846	ERR4835847	ERR4835848	ERR4835849	ERR4835850	ERR4835851	ERR4835852	ERR4835853	ERR4835854	ERR4835855	ERR4835856	ERR4835857	ERR4835858	ERR4835859	ERR4835860	ERR4835861	ERR4835862	ERR4835863	ERR4835864	ERR4835866	ERR4835867	ERR4835868	ERR4835869	ERR4835870	ERR4835871	ERR4835932	ERR4835933	ERR4835934	ERR4835935	ERR4835989	ERR4835990	ERR4835991	ERR4835992	ERR4835993	ERR4835994	ERR4835995	ERR4835996	ERR4836027	ERR4836028	ERR4836036	ERR4836037	ERR4836884	ERR4836885	ERR4836886	ERR4836887	ERR4836888	ERR4836889	ERR4836908	ERR4836909	ERR4836910	ERR4836911	ERR4836912	ERR4836913	ERR4836914	ERR4836915	ERR4836916	ERR4836917	ERR4836918	ERR4836919	ERR4836920	ERR4836921	ERR4836922	ERR4836923	ERR4836924	ERR4836925	ERR4836926	ERR4836927	ERR4836928	ERR4836929	ERR4836930	ERR4836932	ERR4836933	ERR4836934	ERR4836935	ERR4836936	ERR4836937	ERR4836938	ERR4836939	ERR4836940	ERR4836941	ERR4836942	ERR4836944	ERR4836945	ERR4836946	ERR4836947	ERR4836948	ERR4836949	ERR4836950	ERR4836951	ERR4836953	ERR4836954	ERR4836956	ERR4836957	ERR4836958	ERR4836959	ERR4836960	ERR4836961	ERR4836962	ERR4836963	ERR4836964	ERR4836965	ERR4836966	ERR4968552	ERR4968553	ERR4968554	ERR4968555	ERR4968556	ERR4968557	ERR4968558	ERR4968559	ERR4968560	ERR4968562	ERR4968563	ERR4968564	ERR4968565	ERR4968566	ERR4968567	ERR4968568	ERR4968569	ERR4968570	ERR4968571	ERR4968572	ERR4968574	ERR4968575	ERR4968576	ERR4968577	ERR4968578	ERR4968579	ERR4968580	ERR4968581	ERR4968582	ERR4968584	ERR4968585	ERR4968586	ERR4968587	ERR4968588	ERR4968589	ERR4968590	ERR4968592	ERR4968593	ERR4968594	ERR4968595	ERR4968596	ERR4968597	ERR4968598	ERR4968599	ERR4968600	ERR4968601	ERR4968602	ERR4968603	ERR4968604	ERR4968605	ERR4968606	ERR4968608	ERR4968671	ERR4968673	ERR4968678	ERR4968681	ERR4968687	ERR4968704	ERR4968705	ERR4968711	ERR4968712	ERR4969053	ERR4969151	ERR4992195	ERR4992208	ERR4993373	ERR4993378	ERR4993381	ERR4993382	ERR4993662
ERR4836966_bin.39	31.27	24.51	56.03	61.57	9.8	26.12	77.93	43.33	27.9	45.22	111.77	17.01	17.1	103.15	157.07	35.92	293.05	15.82	47.37	105.26	33.21	41.78	89.41	12.1	8.56	13.89	16.19	12.61	18.3	12.73	20.43	211.76	357.74	22.95	18.14	17.75	22.07	11.61	31.6	22.23	29.03	7.64	27.26	22.29	22.59	11.21	45.47	77.97	55.15	14.44	22.79	454.55	9.94	59.74	51.45	85.23	0.0	0.89	0.0	0.88	10.77	0.0	0.35	11.12	1.13	0.01	0.65	3.49	47.47	20.49	45.71	53.7	18.62	8.56	14.57	21.14	23.35	149.89	19.43	21.7	41.81	29.26	16.06	15.74	68.85	51.28	18.89	19.13	17.33	26.49	17.53	77.58	14.19	29.76	48.41	19.34	71.61	13.22	36.62	18.56	25.19	42.18	21.78	37.83	26.32	19.8	38.26	35.33	32.27	13.03	138.86	57.2	23.28	22.97	21.04	27.21	23.11	15.17	160.99	7.75	82.53	0.0	64.04	18.3	51.97	12.14	21.08	28.09	24.62	10.13	31.77	15.29	21.1	33.04	38.68	54.91	19.89	7.66	21.29	7.43	15.6	16.39	13.74	15.2	12.29	13.89	229.53	48.9	46.86	71.13	53.6	12.08	24.76	16.73	24.73	24.04	181.51	9.53	74.88	5.96	7.62	32.05	10.19	15.61	15.56	4.69	7.54	44.11	6.03	18.57	9.64	102.53	721.23	12.9	44.72	296.71	21.94	163.83	29.8	77.51	46.94	63.57	14.41	3.63	205.45	23.71	20.68	96.7	14.9	20.19	16.96	19.76	17.41	137.27	20.15	21.69	86.8	11.62	58.74	10.83	26.98	10.15	11.48	104.13	47.65	17.49	38.45	9.83	29.82	34.45	42.89	26.74	17.43	8.46	33.43	8.88	10.62	12.65	74.36	65.9	22.61	4.1	16.41	14.19	44.48	112.98	21.55	76.85	8.19	20.35	22.7	51.47	13.54	306.48	28.65	31.53	11.77	17.26	71.99	18.95	26.34	73.26	40.28
ERR4836966_bin.38	65.31	0.4	123.84	129.72	0.21	1.08	26.87	175.67	4.61	0.13	45.61	0.89	0.19	79.51	2.35	0.2	69.59	0.55	4.88	64.59	229.66	5.09	47.16	3.01	0.49	2.62	1.31	4.08	5.24	0.86	2.61	51.4	95.56	0.83	5.05	0.54	38.9	1.47	250.76	3.39	8.37	1.12	7.17	2.06	7.25	0.44	10.84	202.01	5.45	40.19	2.45	141.37	2.8	103.76	6.42	67.92	0.0	0.0	0.0	0.0	0.25	0.0	0.0	2.17	0.0	0.0	0.01	0.06	5.48	57.04	59.49	75.6	8.24	4.51	7.82	11.52	3.74	33.48	4.88	2.92	0.0	1.91	3.24	8.01	240.85	82.47	4.22	0.93	3.53	3.13	1.26	31.76	1.37	4.67	1.03	0.42	167.39	9.79	6.27	2.87	8.32	2.37	7.26	21.88	0.83	5.2	237.29	7.11	6.47	6.11	31.18	74.63	13.79	2.89	7.37	7.16	6.53	77.03	258.11	1.24	42.62	0.0	86.83	5.96	189.63	2.8	7.68	3.33	5.03	106.14	4.2	5.19	3.57	8.41	5.45	86.12	2.56	2.84	217.17	0.05	5.45	26.24	0.21	2.56	3.75	0.22	136.31	75.42	67.45	110.03	439.51	3.79	0.24	0.1	0.46	2.31	172.19	0.86	237.7	0.27	0.7	1.28	7.86	1.6	2.84	8.18	1.31	5.72	2.74	2.34	1.39	528.58	396.59	2.04	7.84	88.26	5.42	197.9	167.55	20.97	36.54	14.21	0.49	0.16	52.47	7.78	3.97	137.8	3.46	34.45	2.97	0.32	7.37	335.33	5.91	21.18	74.52	10.63	280.47	54.17	2.76	106.93	0.65	205.15	3.77	0.34	1.53	0.29	180.46	7.25	107.22	3.0	3.89	0.2	8.35	3.32	1.02	0.24	249.67	9.2	0.23	0.83	0.19	54.03	9.31	47.74	1.24	125.53	2.16	11.0	5.99	102.71	2.4	113.29	1.24	6.5	0.53	27.26	90.58	3.72	179.06	13.13	12.56
ERR4303151bin.6	1516.17	20655.64	562.17	114.36	35.01	9.63	71.66	160.59	864.25	10.61	4201.2	7.09	1194.36	4512.23	6.75	46.55	152.85	42.25	1910.6	4493.73	1756.14	8346.53	118.65	687.78	9.14	211.29	6.39	1263.93	35.47	16.8	871.77	357.85	21.7	14.05	12.67	11.03	55.05	7.21	130.67	1497.65	3907.99	129.01	326.67	902.19	25.78	16.11	400.86	103.86	900.28	215.81	668.7	133.67	495.28	1108.53	1151.68	36.9	0.0	3.99	0.0	4.72	614.72	0.0	0.1	3.27	0.22	0.11	1.05	0.56	1944.54	54.64	518.87	1072.36	574.08	9.78	65.02	9.29	26.38	428.46	250.51	38.97	496.68	123.94	22.5	201.27	1095.74	211.86	174.96	14.75	27.41	25.22	1386.68	299.69	63.78	89.3	2116.32	15.71	102.68	37.88	442.07	13.88	93.66	1080.43	608.57	1580.52	73.64	53.3	366.63	2113.1	4959.84	16.07	1114.26	763.05	1626.15	18.08	504.8	544.92	1005.07	253.5	285.53	13.26	364.08	0.0	90.82	309.91	516.95	10.77	357.59	672.36	210.79	460.7	2470.77	444.46	320.1	1261.89	195.15	19.2	2893.16	9.54	27.06	139.35	415.75	215.98	10.46	32.55	648.5	202.77	401.56	13.7	18.88	63.87	139.72	605.4	8987.76	25.62	6.63	550.92	48.62	180.96	12.44	18.88	28.51	21.7	354.38	4301.69	211.08	6.28	16.93	1642.61	94.76	270.79	147.78	251.19	68.82	595.4	638.61	180.88	1605.67	123.88	764.47	53.39	118.43	983.36	18.4	26.54	74.54	290.46	62.08	49.08	188.57	56.95	55.9	7510.47	79.08	101.62	14.55	2174.01	83.52	138.9	161.37	378.65	22.99	26.75	110.32	135.32	2590.18	43.27	20.57	7.55	749.63	10.56	88.84	33.27	374.3	3.83	1041.7	6.86	7.65	9.05	32.13	524.8	6611.53	6.68	16.05	759.03	344.94	4.16	18.13	158.31	464.94	788.43	389.29	933.38	27.16	172.97	11035.46	10.85	5.61	231.48	185.26	1808.85	286.14	909.83	921.21
ERR4303159bin.34	409.13	0.37	17.74	10.17	10.36	1.91	52.96	159.86	51.13	4.32	8.71	648.81	0.41	39.57	4.2	19.71	13.17	2615.93	2.96	493.64	7.74	41.26	5.72	3.05	0.35	393.23	17.96	3.31	15.23	3.16	12.26	25.25	7.53	19.81	655.68	19.95	28.76	69.72	3.82	508.78	278.27	1.13	14.47	461.93	4.56	5.77	20.33	8.87	2850.5	8.92	4.64	38.94	0.74	33.7	17.35	64.44	0.0	6.1	0.0	0.11	78.61	0.0	0.0	0.57	0.25	0.06	0.55	0.32	13.84	3.17	692.86	5661.5	14.86	7.41	156.53	2.97	11.45	1407.43	63.24	6.24	0.0	58.91	42.54	13.09	283.54	79.14	24.32	1.75	65.16	311.02	27.4	96.3	10.63	13.97	429.72	2.21	35.32	25.09	149.73	24.01	2.99	8.02	23.63	46.67	36.61	72.41	44.94	46.19	719.94	3.18	54.97	82.08	116.78	6.29	69.84	5597.51	12.82	765.1	33.47	10.34	13.26	323.36	42.75	6.33	26.08	3.31	31.68	6.99	30.1	15.2	8.31	23.25	18.51	45.9	67.67	26.47	143.04	6.07	35.28	3.46	48.7	19.86	72.26	13.63	10.79	2.15	145.8	17.03	16.24	16.27	23.76	283.02	3.29	59.8	34.62	17.2	39.15	5.32	4.58	0.96	0.84	9.58	23.22	19.3	10.37	3.68	3.43	44.64	1.1	4.07	8.84	41.73	20.32	4.08	8.92	26.33	45.19	218.89	21.21	4.87	15.02	114.49	14.63	0.86	23.19	11.79	109.73	236.93	7.51	11.07	27.07	3.6	4.92	41.05	81.09	8.04	41.25	20.99	37.59	5.55	5.6	2.65	7.57	37.36	4.77	29.62	14.71	0.84	19.59	5.77	27.53	1.89	333.08	3.58	67.62	57.6	2.06	8.81	68.01	14.36	5.01	3.42	6.41	32.72	137.89	7.43	22.32	20.44	81.19	50.47	994.17	37.68	0.63	107.94	8.43	4.02	44.3	32.95	19.32	19.89	50.15	28.17	12.96
ERR4304455bin.34	13.22	62.02	145.26	181.1	34.28	1305.37	25.3	15.13	27.49	18.81	89.16	26.0	21.35	76.01	16.19	10.13	6.61	14.5	27.52	38.26	19.49	33.21	14.42	46.0	17.02	29.09	22.72	11.79	172.21	49.8	88.02	217.26	81.88	109.14	20.3	25.52	16.35	16.89	17.39	216.06	25.17	22.02	18.66	41.13	24.33	24.14	93.37	180.4	948.54	53.11	30.32	8.65	766.85	627.53	17.16	33.34	0.0	0.1	0.09	7.97	23.32	0.0	0.23	0.15	0.03	0.01	0.12	0.41	34.48	82.97	15.84	15.64	14.99	185.77	34.41	54.86	26.43	20.45	294.87	26.98	0.0	61.34	13.77	467.91	20.66	35.77	82.34	40.55	161.25	281.56	326.47	16.65	136.13	19.06	78.27	42.98	12.98	37.83	15.94	39.19	25.23	20.87	30.41	20.03	23.65	17.13	15.09	123.75	25.01	36.35	14.16	38.52	281.08	553.31	14.98	20.49	26.13	54.65	295.28	14.19	7.98	200.79	54.38	12.99	102.8	19.32	20.39	145.02	26.5	168.7	1372.08	261.56	20.71	21.18	21.23	50.28	25.42	27.87	3.73	46.17	8.87	436.23	24.22	33.75	36.51	43.91	14.14	22.39	12.67	147.37	269.09	58.7	79.08	1502.7	39.16	61.98	16.23	22.15	5.75	17.04	1135.53	49.91	27.75	25.65	8.17	16.3	29.43	17.33	312.48	187.82	8.04	77.18	63.91	202.77	44.66	11.74	22.77	14.86	334.94	10.08	33.63	35.98	40.78	16.71	18.67	214.96	117.63	8.05	8.69	30.23	307.75	38.83	41.1	31.71	14.89	34.4	9.69	387.24	31.15	743.05	189.88	277.09	19.49	24.22	26.22	61.62	26.63	46.17	329.51	38.07	98.14	35.81	20.26	12.67	337.01	892.16	52.28	8.51	9.5	103.76	38.39	14.55	63.73	259.78	223.74	7.86	52.71	9.62	336.52	21.48	16.19	286.1	30.67	37.26	46.64	307.63	43.97	236.22	93.41	29.28	20.2	14.14	14.75
ERR4968678_bin.68	444.98	99.23	350.13	2149.33	2.1	11.27	261.21	179.86	168.36	42.12	402.15	72.75	2.66	185.43	227.96	3.3	569.63	141.84	20.1	1118.21	141.73	212.13	638.71	80.39	37.2	162.27	41.91	73.75	278.39	11.73	83.66	3321.38	75.14	18.07	93.59	55.39	71.12	14.27	25.27	216.42	532.5	48.57	99.9	90.07	33.59	3.7	827.68	39.83	241.39	94.46	105.71	61.45	14.12	169.81	256.78	96.81	0.0	4.34	0.0	1.54	26.93	0.0	0.58	6.56	6.37	0.12	1.05	1.04	404.83	78.22	308.27	748.62	112.03	68.62	141.6	32.54	9.05	238.42	199.34	70.32	380.11	52.06	219.47	118.25	733.49	1102.81	206.95	61.68	234.8	166.01	424.01	232.33	107.27	124.79	242.35	7.0	161.37	79.28	235.91	85.21	66.84	36.44	106.89	1421.15	46.42	86.11	753.19	323.73	305.98	24.99	647.86	288.93	958.96	7.44	596.11	348.1	211.57	168.98	625.56	22.69	148.2	459.83	79.11	1729.57	371.37	33.42	192.24	301.43	743.51	176.31	52.67	223.45	862.09	1460.63	202.36	64.67	843.22	73.47	427.64	2.39	430.21	199.86	263.45	25.82	78.26	29.4	206.48	423.65	126.76	122.81	966.86	435.46	60.0	9.63	17.71	180.51	485.05	8.91	69.87	11.73	10.71	10.56	779.14	149.8	76.61	49.21	11.97	141.08	65.4	136.68	56.83	148.68	298.47	26.3	97.0	1311.91	1403.95	233.0	1070.2	63.25	192.97	843.12	73.37	3.45	573.32	138.88	219.5	179.27	141.58	104.24	113.73	50.13	70.9	313.67	230.07	104.13	679.83	354.52	623.34	305.61	63.33	31.6	45.93	122.04	18.3	10.79	18.58	2.54	845.52	25.35	229.16	18.22	186.42	4.36	128.68	150.77	13.15	25.21	103.94	912.08	23.45	15.03	76.86	864.97	127.21	90.58	19.78	787.69	609.15	278.0	382.71	731.58	28.1	193.82	22.74	179.91	2.64	269.24	318.77	33.13	248.42	223.24	167.87
ERR4303197bin.62	243.64	0.17	6.29	7.82	3.0	0.07	36.48	198.04	34.41	0.05	2.34	3.73	0.34	39.32	4.08	0.19	4.28	1.18	0.13	424.57	11.17	0.87	7.7	3.69	7.71	8.13	0.2	2.47	20.55	0.13	3.06	1812.95	18.35	2.63	34.48	1.12	1.75	1.9	14.09	3.98	1.96	12.55	7.26	26.06	0.13	0.15	1564.89	13.4	21.69	4.38	2.38	10.19	20.73	1.47	2.81	8.31	0.0	0.0	0.0	0.0	4.11	0.0	0.0	0.15	0.1	0.0	0.03	0.07	34.94	1.46	63.15	10.36	4.92	4.89	4.06	0.96	0.33	5.86	186.59	0.15	0.0	15.75	11.17	10.84	42.45	4.79	9.57	0.67	13.32	365.63	8.5	73.09	0.73	56.47	5745.0	0.55	2.38	2.68	243.66	22.59	2.93	0.16	0.18	3.06	18.14	1.8	7.92	6.66	2.09	1.19	158.05	350.89	4.82	1.45	1.81	37.06	3.52	2.16	5.37	3.07	53.56	0.0	2.06	1.2	601.75	7.13	1.98	5.85	2.17	1.9	4.79	4.59	3.75	1.61	2.16	1.82	2.01	12.53	2.53	22.06	17.35	5.0	5.91	11.33	12.37	3.38	29.82	113.06	9.75	18.7	4.17	7.41	18.73	0.32	0.59	54.39	350.73	27.09	6.89	9.86	4.85	0.33	235.29	8.61	1.37	3.32	4.93	2.46	5.03	3.78	2.06	17.79	2.53	4.76	4.16	3.62	16.04	93.35	62.7	1.18	27.16	14.94	11.5	0.06	87.81	14.31	10.87	2.79	5.26	33.91	5.0	7.02	18.74	2.41	1107.47	8.17	114.6	2.33	819.59	32.83	0.66	2.2	1.86	5.63	1.85	6.36	3.52	1.23	61.61	3.91	101.71	6.79	3903.99	8.66	5.79	14.01	0.51	0.95	36.95	835.18	0.81	7.66	0.37	8.43	48.24	316.0	4.26	1.9	5.94	22.8	4.07	729.7	6.13	12.14	0.31	10.51	4.32	193.45	2.16	2.87	20.06	14.78	2.09
ERR4303137bin.30	64.41	0.0	6997.78	15.21	2.72	0.69	142.41	519.01	33.64	0.99	2.32	2.97	0.06	1045.04	13.2	0.96	9.71	4.19	4.65	36.28	5.01	217.82	6.17	5.76	0.39	540.64	22.1	2.23	34.62	4.14	13.04	46.1	96.74	0.07	23.14	1.38	169.32	0.27	0.45	5.12	14.02	2.08	21.42	136.92	7.31	0.11	85.7	360.51	69.91	10.97	2.67	12.35	0.45	782.93	39.93	13.81	0.0	0.25	0.0	0.0	44.16	0.0	0.0	0.19	0.49	0.09	0.04	0.22	35.0	3.54	9.38	66.66	31.51	74.15	14.27	1.09	2.79	39.64	23.57	4.4	0.0	5.04	56.06	13.72	56.61	259.98	34.68	0.51	13.23	64.53	177.4	90.51	10.93	18.16	15.49	0.74	13.47	4.91	779.59	4.89	10.43	5.57	40.74	22.95	3.48	30.55	35.13	57.52	38.11	2.61	274.09	191.45	168.58	2.35	45.11	24.29	7.23	16.31	768.61	3.26	13.72	178.4	3056.83	5.78	37.35	0.82	62.9	7.03	7.78	6.87	1.84	28.61	19.6	37.53	108.11	13.31	83.84	15.89	21.08	0.26	12.14	33.33	1.1	5.52	11.53	1.96	22.47	33.28	27.55	441.94	24.85	77.8	0.28	0.28	1.49	39.64	22.2	0.3	6.85	3.06	0.19	0.79	14.75	3.32	8.51	0.27	0.77	40.95	0.89	7.78	4.72	21.93	37.2	1.29	5.2	19.55	150.29	30.94	27.35	9.41	2291.66	82.71	2.06	0.26	11.45	27.72	17.77	17.22	31.38	8.31	18.4	0.68	43.09	2111.6	46.74	15.27	17.74	48.28	25.1	12.28	22.61	0.39	6.43	1492.16	11.92	1.4	10.72	0.06	25.05	1.05	875.16	1.95	4.03	0.14	17.82	82.64	0.01	6.44	177.87	26.79	0.08	0.8	0.09	13.1	42.25	9.67	1.9	15.73	196.29	198.77	38.86	125.34	21.81	41.13	0.3	35.86	0.18	26.34	48.58	9.53	80.29	11.64	27.04
ERR4303137bin.34	2.14	0.0	2724.76	18.65	0.04	0.04	17.85	17.37	57.23	0.03	18.67	0.36	0.1	10.3	1.82	0.02	18.21	0.02	0.05	7.79	23.46	2.01	0.72	12.19	0.04	24.74	0.14	1.19	5.97	1.18	10.19	22.92	28.44	0.16	15.16	0.09	2.94	9.48	1.92	13.67	0.21	1.08	20.69	18.07	0.06	0.01	8.66	2.56	10.55	9.44	0.12	16.39	1.45	4.03	29.53	6.35	0.0	0.0	0.0	0.0	2.76	0.0	0.0	0.21	0.0	0.01	0.03	0.0	13.35	0.14	10.53	26.88	4.6	15.47	2.03	11.05	0.44	16.84	26.66	0.08	0.0	0.07	10.84	7.59	9.33	22.49	9.15	3.6	5.18	1.44	26.54	1.45	0.13	12.41	15.41	0.16	3.06	0.65	29.87	1.59	0.46	0.07	0.34	20.51	0.09	7.64	7.86	57.1	4.7	0.72	39.49	21.19	1.57	0.37	0.59	21.93	34.07	4.52	23.77	0.0	8.47	800.89	11.8	9.34	19.11	14.0	8.74	14.94	0.6	4.87	11.66	18.48	23.63	5.86	10.8	2.84	15.95	6.09	1.19	0.04	1.06	11.23	0.24	0.82	27.06	0.08	14.38	4.14	3.62	2.38	34.08	3.42	0.19	0.07	0.16	3.04	23.67	0.14	12.4	0.47	0.03	0.3	12.92	0.27	0.04	0.12	0.18	3.06	6.3	6.43	0.08	5.08	21.66	0.0	18.93	0.91	12.6	16.65	18.61	2.62	21.07	2.36	0.58	0.05	5.65	8.24	3.04	6.42	15.2	9.81	0.45	0.2	0.97	7.57	4.87	19.23	10.23	6.8	22.1	6.68	2.19	0.63	0.32	29.04	0.43	0.55	0.56	0.0	16.86	0.3	9.95	0.43	115.16	0.62	3.24	1.94	0.17	1.03	23.58	21.91	0.11	2.46	0.13	10.35	17.2	2.19	0.49	9.11	24.78	19.01	34.33	26.16	0.37	521.85	0.06	134.72	0.01	32.07	4.04	0.82	6.65	21.17	4.38
ERR4303137bin.35	93.01	221.32	5035.69	38.09	143.75	277.33	328.85	88.2	94.45	191.78	186.98	108.18	133.03	1853.62	79.97	208.0	69.65	77.22	243.73	119.33	105.89	387.07	58.65	169.88	136.47	151.1	193.4	139.94	116.43	192.16	98.4	126.99	480.41	177.88	403.09	257.29	106.68	225.46	107.98	142.03	177.05	85.82	99.77	74.63	110.34	161.37	95.84	689.3	131.28	106.1	145.94	72.05	104.79	190.08	136.47	114.48	0.0	1.1	0.0	25.08	47.24	0.36	2.99	2.59	0.46	0.02	0.26	0.88	112.08	131.56	111.57	103.79	195.55	126.74	192.69	190.42	160.67	168.52	191.84	185.45	171.73	188.0	89.2	130.45	111.47	201.16	284.14	150.02	141.89	144.53	101.63	80.17	209.85	162.14	111.19	245.41	454.15	207.18	183.19	201.08	107.26	261.91	132.37	246.91	251.22	178.67	80.42	82.86	129.83	127.84	135.28	109.46	117.98	258.71	119.97	108.18	185.05	140.95	217.55	149.62	75.3	0.0	104.46	178.56	95.64	142.22	167.59	96.31	87.07	91.63	161.57	108.41	157.82	119.88	102.64	887.59	178.46	83.07	37.62	118.18	113.4	293.87	187.46	135.57	93.19	238.58	71.12	61.4	57.9	204.78	82.43	150.55	126.78	205.77	189.59	95.02	237.14	123.68	52.23	138.04	233.31	188.88	74.53	130.56	96.96	94.8	231.5	142.72	113.14	108.32	57.24	112.38	62.92	85.7	95.42	67.11	100.14	77.0	186.91	45.92	97.39	140.54	184.53	123.94	55.23	171.59	1881.86	229.1	106.23	70.67	221.18	247.53	242.13	82.04	140.68	130.0	59.47	114.99	45.56	97.33	175.13	82.35	116.34	85.77	203.7	159.61	160.27	197.83	202.29	228.41	102.43	340.61	145.99	105.49	169.26	76.32	187.32	41.97	43.93	96.82	341.71	97.03	163.48	162.16	131.74	60.87	188.19	65.17	102.49	114.81	178.98	113.6	148.77	43.85	183.82	119.74	87.62	159.61	116.43	188.14	132.08	119.97	84.17
