genome,completeness,contamination
ERR4647694_bin.1.fa,99.02,0.0
ERR4647695_bin.4.fa,97.35,0.464
ERR4647695_bin.6.fa,64.65,0.0
ERR4647695_bin.7.fa,70.28,2.808
ERR4647695_bin.8.fa,88.16,0.608
ERR4647698_bin.2.fa,64.48,0.614
ERR4647699_bin.1.fa,78.76,0.0
ERR4647716_bin.21.fa,91.60,0.684
ERR4647716_bin.2.fa,89.59,0.374
ERR4647716_bin.6.fa,86.91,1.051
ERR4647716_bin.7.fa,76.86,1.149
ERR4647716_bin.9.fa,63.27,0.0
ERR4647all_bin.19.fa,61.28,0.713
ERR4647all_bin.25.fa,60.97,0.872
ERR4647all_bin.26.fa,91.02,1.139
ERR4647all_bin.30.fa,98.89,1.657
ERR4647all_bin.32.fa,89.54,1.900
ERR6769635_bin.1.fa,97.41,0.728
ERR6769635_bin.7.fa,99.55,0.041
ERR6769637_bin.3.fa,98.07,0.546
ERR6769641_bin.2.fa,96.86,0.324
ERR6769645_bin.1.fa,98.44,0.841
ERR6769650_bin.6.fa,96.30,0.264
ERR6769655_bin.5.fa,98.95,1.047
ERR6769657_bin.3.fa,96.68,0.0
ERR6769658_bin.3.fa,65.46,0.516
ERR6769666_bin.3.fa,99.96,0.245
ERR6769687_bin.1.fa,77.07,0.161
ERR6769692_bin.4.fa,95.07,0.0
ERR6769697_bin.2.fa,84.06,0.881
ERR6769705_bin.2.fa,96.88,0.259
ERR6769707_bin.3.fa,99.47,0.0
ERR6769708_bin.3.fa,98.50,0.883
ERR6769716_bin.5.fa,97.64,0.392
ERR6769717_bin.1.fa,97.65,0.0
ERR6769720_bin.1.fa,97.41,0.0
ERR6769723_bin.2.fa,99.18,0.0
ERR6769751_bin.3.fa,91.98,0.0
ERR6769751_bin.4.fa,52.06,0.0
ERR6769763_bin.10.fa,69.42,0.020
ERR6769763_bin.11.fa,56.81,0.740
ERR6769763_bin.12.fa,85.09,1.123
ERR6769763_bin.13.fa,96.06,0.371
ERR6769763_bin.1.fa,98.17,0.559
ERR6769763_bin.4.fa,51.34,0.0
ERR6769763_bin.5.fa,71.07,1.123
ERR6769763_bin.6.fa,87.91,0.183
ERR6769763_bin.7.fa,96.74,0.238
ERR6769763_bin.9.fa,93.09,0.0
ERR6769768_bin.1.fa,88.95,0.820
ERR6769768_bin.5.fa,99.18,0.0
ERR6769768_bin.7.fa,98.41,0.0
ERR6769776_bin.2.fa,75.22,0.757
ERR6769781_bin.1.fa,98.73,0.838
ERR6769781_bin.2.fa,95.27,1.318
ERR6769781_bin.3.fa,85.70,0.388
ERR6769785_bin.10.fa,97.59,0.0
ERR6769785_bin.5.fa,68.96,0.0
ERR6769785_bin.9.fa,98.29,0.0
ERR6769786_bin.2.fa,99.25,0.0
ERR6769787_bin.5.fa,84.55,1.639
ERR6769788_bin.1.fa,78.04,2.957
ERR6769789_bin.2.fa,86.61,0.765
ERR6800362_bin.1.fa,98.87,0.749
ERR6800374_bin.1.fa,88.02,1.298
ERR6800836_bin.1.fa,94.75,0.0
ERR6800836_bin.2.fa,75.31,0.0
ERR6889850_bin.10.fa,85.00,0.671
ERR6889850_bin.11.fa,96.20,0.632
ERR6889850_bin.13.fa,94.33,0.471
ERR6889850_bin.14.fa,97.31,0.0
ERR6889850_bin.15.fa,97.76,2.013
ERR6889850_bin.17.fa,89.64,0.0
ERR6889850_bin.19.fa,90.85,0.574
ERR6889850_bin.1.fa,96.65,0.0
ERR6889850_bin.20.fa,98.73,0.0
ERR6889850_bin.21.fa,90.90,2.456
ERR6889850_bin.22.fa,94.56,3.481
ERR6889850_bin.23.fa,98.65,0.0
ERR6889850_bin.24.fa,68.32,0.574
ERR6889850_bin.25.fa,97.46,0.0
ERR6889850_bin.26.fa,94.32,2.237
ERR6889850_bin.27.fa,98.08,0.636
ERR6889850_bin.28.fa,79.04,0.671
ERR6889850_bin.2.fa,95.15,0.0
ERR6889850_bin.31.fa,59.66,0.671
ERR6889850_bin.32.fa,76.96,0.584
ERR6889850_bin.3.fa,89.21,2.690
ERR6889850_bin.5.fa,52.63,0.0
ERR6889850_bin.6.fa,98.12,0.0
ERR6889850_bin.7.fa,94.29,1.006
ERR6889850_bin.8.fa,83.19,0.158
ERR6889850_bin.9.fa,97.82,0.636
