genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
ERR4301269bin.7	85	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				38
ERR4303136bin.34	40	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547455	3 present			48
ERR4303137bin.12	90	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__	ERR4303137bin.12_NODE_4113_length_8653_cov_12.538381 (8094, 8206)			9
ERR4303137bin.30	31	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__	ERR4303137bin.30_NODE_309_length_58804_cov_26.634002 (58735, 58803)			37
ERR4303137bin.34	29	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695				41
ERR4303137bin.35	93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	ERR4303137bin.35_NODE_1163_length_23828_cov_18.694233 (23639, 23735)			45
ERR4303138bin.28	143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	2 present			44
ERR4303138bin.37	125	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__		ERR4303138bin.37_NODE_5645_length_6004_cov_15.116826 (5213, 6004)		26
ERR4303139bin.27	67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp900552925	2 present			41
ERR4303140bin.1	158	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__				31
ERR4303147bin.12	76	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4303147bin.12_NODE_2951_length_14106_cov_15.620810 (717, 790)			32
ERR4303147bin.39	136	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__	ERR4303147bin.39_NODE_817_length_32663_cov_14.149963 (32469, 32564)			26
ERR4303147bin.44	77	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-594;s__				29
ERR4303147bin.48	110	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	ERR4303147bin.48_NODE_1520_length_22024_cov_5.508080 (21439, 21551)			16
