genome,completeness,contamination
ERR4301269bin.7.fa,90.48,0.0
ERR4303136bin.34.fa,97.98,0.671
ERR4303137bin.12.fa,64.01,0.0
ERR4303137bin.30.fa,92.69,3.932
ERR4303137bin.34.fa,52.12,0.0
ERR4303137bin.35.fa,99.32,0.0
ERR4303138bin.28.fa,97.31,0.0
ERR4303138bin.37.fa,90.35,0.0
ERR4303139bin.27.fa,98.65,0.356
ERR4303140bin.1.fa,97.31,0.0
ERR4303147bin.12.fa,93.25,1.123
ERR4303147bin.39.fa,94.85,0.0
ERR4303147bin.44.fa,86.12,0.561
ERR4303147bin.48.fa,82.47,0.0
ERR4303147bin.52.fa,80.30,1.612
ERR4303147bin.54.fa,79.42,1.631
ERR4303148bin.1.fa,99.25,0.123
ERR4303148bin.29.fa,75.38,1.631
ERR4303149bin.21.fa,93.95,0.0
ERR4303149bin.27.fa,93.45,0.136
ERR4303149bin.29.fa,99.17,4.304
ERR4303149bin.36.fa,72.17,1.698
ERR4303150bin.25.fa,98.65,0.0
ERR4303150bin.41.fa,95.99,0.584
ERR4303150bin.6.fa,99.09,0.540
ERR4303150bin.7.fa,80.12,0.169
ERR4303151bin.10.fa,93.54,0.0
ERR4303151bin.35.fa,99.51,0.480
ERR4303151bin.51.fa,92.69,0.0
ERR4303151bin.6.fa,95.38,0.671
ERR4303152bin.33.fa,70.35,0.671
ERR4303152bin.5.fa,73.27,0.0
ERR4303152bin.6.fa,76.89,3.041
ERR4303154bin.23.fa,92.02,0.447
ERR4303154bin.29.fa,97.66,0.584
ERR4303154bin.32.fa,97.36,0.0
ERR4303154bin.33.fa,95.56,0.052
ERR4303154bin.37.fa,93.95,0.0
ERR4303154bin.7.fa,98.65,0.0
ERR4303154_ERR4303139_ERR4303140bin.17.fa,89.14,0
ERR4303155bin.13.fa,64.09,1.062
ERR4303155bin.51.fa,93.95,0.026
ERR4303155bin.77.fa,85.34,0.0
ERR4303155bin.7.fa,74.94,0.0
ERR4303156bin.11.fa,72.07,0.646
ERR4303156bin.23.fa,89.74,0.854
ERR4303156bin.5.fa,92.71,0.806
ERR4303157bin.17.fa,98.65,0.0
ERR4303157bin.8.fa,94.75,0.026
ERR4303158bin.17.fa,95.39,1.949
ERR4303158bin.24.fa,71.10,0.728
ERR4303158bin.27.fa,80.33,0.0
ERR4303158bin.38.fa,92.61,1.851
ERR4303158bin.59.fa,75.04,0.894
ERR4303158bin.61.fa,92.58,2.247
ERR4303159bin.34.fa,88.76,4.494
ERR4303161bin.16.fa,98.66,0.111
ERR4303161bin.27.fa,90.46,0.062
ERR4303161bin.36.fa,98.96,0.0
ERR4303161bin.39.fa,96.42,0.0
ERR4303161bin.47.fa,63.75,2.119
ERR4303161bin.49.fa,93.16,0.569
ERR4303161bin.86.fa,63.08,0.0
ERR4303162bin.23.fa,95.16,0.0
ERR4303162bin.26.fa,99.04,0.632
ERR4303162bin.31.fa,98.23,0.0
ERR4303162bin.41.fa,85.38,2.144
ERR4303162bin.8.fa,98.55,0.0
ERR4303163bin.31.fa,76.34,1.123
ERR4303163bin.49.fa,93.25,1.123
ERR4303163bin.54.fa,53.85,0.0
ERR4303163bin.60.fa,99.05,0.0
ERR4303163bin.64.fa,66.65,1.845
ERR4303164bin.29.fa,91.86,2.433
ERR4303164bin.43.fa,94.18,0.0
ERR4303164bin.45.fa,93.62,1.363
ERR4303165bin.17.fa,96.39,0.584
ERR4303165bin.34.fa,97.84,0.0
ERR4303165bin.63.fa,89.56,2.013
ERR4303169bin.21.fa,96.72,0.671
ERR4303169bin.22.fa,100.0,0.0
ERR4303169bin.25.fa,99.32,0.0
ERR4303169bin.6.fa,99.32,0.0
ERR4303170bin.19.fa,56.17,0.674
ERR4303170bin.3.fa,90.90,0.284
ERR4303170bin.59.fa,97.31,0.223
ERR4303170bin.62.fa,90.33,0.0
ERR4303171bin.26.fa,93.77,0.0
ERR4303171bin.38.fa,98.10,0.230
ERR4303171bin.43.fa,88.47,1.342
ERR4303172bin.20.fa,85.62,0.704
ERR4303172bin.39.fa,98.63,0.680
ERR4303194bin.18.fa,89.32,2.247
ERR4303194bin.45.fa,83.14,1.342
ERR4303194bin.54.fa,95.97,0.0
ERR4303194bin.64.fa,91.32,0.590
ERR4303195bin.15.fa,95.38,0.671
ERR4303195bin.1.fa,73.97,1.342
ERR4303195bin.34.fa,98.54,0.671
ERR4303195bin.36.fa,94.29,0.0
ERR4303195bin.40.fa,95.54,0.0
ERR4303195bin.50.fa,95.56,0.791
ERR4303195bin.51.fa,72.46,1.323
ERR4303195bin.55.fa,98.11,0.943
ERR4303196bin.52.fa,95.82,0.974
ERR4303196bin.67.fa,99.36,0.158
ERR4303197bin.23.fa,51.92,0.0
ERR4303197bin.30.fa,100.0,0.0
ERR4303197bin.31.fa,91.85,1.724
ERR4303197bin.37.fa,89.70,3.531
ERR4303197bin.47.fa,89.16,0.0
ERR4303197bin.62.fa,85.39,0.0
ERR4303197bin.71.fa,92.64,0.0
ERR4303198bin.16.fa,93.82,1.123
ERR4303198bin.17.fa,99.51,0.480
ERR4303198bin.23.fa,90.86,0.0
ERR4303198bin.28.fa,99.36,0.316
ERR4303198bin.48.fa,78.98,0.854
ERR4303198bin.53.fa,97.85,0.238
ERR4303198bin.62.fa,99.66,1.342
ERR4303198bin.74.fa,54.46,0.0
ERR4303198bin.77.fa,99.43,0.188
ERR4303198bin.87.fa,66.44,0.676
ERR4303198bin.91.fa,76.10,2.684
ERR4303199bin.13.fa,95.32,1.267
ERR4303199bin.26.fa,92.61,0.0
ERR4303199bin.55.fa,85.72,3.481
ERR4303199bin.8.fa,96.28,2.436
ERR4303200bin.10.fa,84.00,0.0
ERR4303200bin.26.fa,96.56,2.237
ERR4303200bin.30.fa,97.14,1.342
ERR4303201bin.14.fa,98.12,1.708
ERR4303201bin.25.fa,64.25,0.871
ERR4303201bin.48.fa,99.34,2.848
ERR4303201bin.49.fa,74.23,0.896
ERR4303202bin.36.fa,98.69,0.584
ERR4303202bin.39.fa,78.81,0.0
ERR4303202bin.41.fa,97.98,0.0
ERR4303202bin.47.fa,72.39,1.398
ERR4303202bin.55.fa,99.25,0.749
ERR4303202bin.87.fa,69.82,0.0
ERR4303202bin.9.fa,92.30,1.139
ERR4303216bin.24.fa,99.47,0.0
ERR4303216bin.25.fa,83.01,0.843
ERR4303216bin.30.fa,93.11,0.0
ERR4303216bin.37.fa,84.29,1.454
ERR4303216bin.38.fa,85.47,0.0
ERR4303216bin.48.fa,99.20,0.0
ERR4303216bin.6.fa,95.41,1.027
ERR4303216bin.9.fa,95.16,0.073
ERR4303218bin.13.fa,80.89,0.0
ERR4303218bin.35.fa,97.98,0.0
ERR4303218bin.48.fa,95.65,0.472
ERR4303218bin.57.fa,82.02,0.0
ERR4303218bin.59.fa,91.58,0.041
ERR4303218bin.72.fa,97.42,0.543
ERR4303219bin.15.fa,84.11,0.636
ERR4303219bin.38.fa,86.47,1.686
ERR4303219bin.45.fa,93.95,0.0
ERR4303219bin.47.fa,92.69,1.685
ERR4303219bin.56.fa,92.13,3.370
ERR4303219bin.59.fa,75.88,0.601
ERR4303219bin.84.fa,67.58,0.0
ERR4303219bin.89.fa,99.36,0.632
ERR4303221bin.11.fa,56.71,0.0
ERR4303221bin.5.fa,100.0,0.0
ERR4303221bin.62.fa,94.70,1.220
ERR4303221bin.83.fa,63.48,0.806
ERR4303222bin.38.fa,80.01,0.0
ERR4303222bin.4.fa,78.08,1.123
ERR4303222bin.53.fa,74.99,1.118
ERR4303222bin.56.fa,62.45,0.0
ERR4303222bin.74.fa,92.50,1.149
ERR4304397bin.22.fa,92.74,0.0
ERR4304397bin.39.fa,98.27,1.127
ERR4304397bin.60.fa,63.46,0.223
ERR4304397bin.63.fa,91.57,2.247
ERR4304450bin.12.fa,98.65,0.167
ERR4304450bin.39.fa,92.69,0.0
ERR4304450bin.42.fa,93.17,0.292
ERR4304450bin.52.fa,74.99,2.013
ERR4304450bin.54.fa,97.31,0.0
ERR4304450bin.57.fa,95.12,1.234
ERR4304450bin.64.fa,80.22,1.449
ERR4304450bin.69.fa,100.0,0.158
ERR4304450_ERR4303136_ERR4303150bin.29.fa,76.66,1.398
ERR4304450_ERR4303136_ERR4303150bin.49.fa,97.76,0
ERR4304450_ERR4303136_ERR4303150bin.93.fa,97.16,1.706
ERR4304451bin.10.fa,93.95,0.0
ERR4304451bin.12.fa,97.95,0.0
ERR4304451bin.13.fa,83.94,0.680
ERR4304451bin.35.fa,93.28,2.348
ERR4304451bin.39.fa,97.87,0.943
ERR4304451bin.41.fa,99.32,0.0
ERR4304451bin.49.fa,97.98,0.0
ERR4304451bin.56.fa,89.36,0.671
ERR4304451bin.59.fa,95.42,0.0
ERR4304451bin.5.fa,77.89,2.258
ERR4304451bin.67.fa,98.12,0.690
ERR4304452bin.111.fa,99.52,0.478
ERR4304452bin.33.fa,91.46,0.0
ERR4304452bin.4.fa,89.32,1.685
ERR4304452bin.53.fa,90.34,1.342
ERR4304452bin.57.fa,67.49,2.348
ERR4304452bin.7.fa,83.86,1.123
ERR4304452bin.8.fa,96.17,0.0
ERR4304452bin.98.fa,90.22,0.805
