,ERR4301269,ERR4303136,ERR4303137,ERR4303138,ERR4303139,ERR4303140,ERR4303147,ERR4303148,ERR4303149,ERR4303150,ERR4303151,ERR4303152,ERR4303154,ERR4303155,ERR4303156,ERR4303157,ERR4303158,ERR4303159,ERR4303160,ERR4303161,ERR4303162,ERR4303163,ERR4303164,ERR4303165,ERR4303169,ERR4303170,ERR4303171,ERR4303172,ERR4303194,ERR4303195,ERR4303196,ERR4303197,ERR4303198,ERR4303199,ERR4303200,ERR4303201,ERR4303202,ERR4303216,ERR4303217,ERR4303218,ERR4303219,ERR4303221,ERR4303222,ERR4304397,ERR4304450,ERR4304451,ERR4304452,ERR4304454,ERR4304455,ERR4304456,ERR4304504,ERR4304505,ERR4304580,ERR4304669,ERR4304808,ERR4336989,ERR4647691,ERR4647692,ERR4647693,ERR4647694,ERR4647695,ERR4647696,ERR4647697,ERR4647698,ERR4647699,ERR4647712,ERR4647713,ERR4647716,ERR4835842,ERR4835843,ERR4835845,ERR4835846,ERR4835847,ERR4835848,ERR4835849,ERR4835850,ERR4835851,ERR4835852,ERR4835853,ERR4835854,ERR4835855,ERR4835856,ERR4835857,ERR4835858,ERR4835859,ERR4835860,ERR4835861,ERR4835862,ERR4835863,ERR4835864,ERR4835866,ERR4835867,ERR4835868,ERR4835869,ERR4835870,ERR4835871,ERR4835932,ERR4835933,ERR4835934,ERR4835935,ERR4835989,ERR4835990,ERR4835991,ERR4835992,ERR4835993,ERR4835994,ERR4835995,ERR4835996,ERR4836027,ERR4836028,ERR4836036,ERR4836037,ERR4836884,ERR4836885,ERR4836886,ERR4836887,ERR4836888,ERR4836889,ERR4836908,ERR4836909,ERR4836910,ERR4836911,ERR4836912,ERR4836913,ERR4836914,ERR4836915,ERR4836916,ERR4836917,ERR4836918,ERR4836919,ERR4836920,ERR4836921,ERR4836922,ERR4836923,ERR4836924,ERR4836925,ERR4836926,ERR4836927,ERR4836928,ERR4836929,ERR4836930,ERR4836932,ERR4836933,ERR4836934,ERR4836935,ERR4836936,ERR4836937,ERR4836938,ERR4836939,ERR4836940,ERR4836941,ERR4836942,ERR4836944,ERR4836945,ERR4836946,ERR4836947,ERR4836948,ERR4836949,ERR4836950,ERR4836951,ERR4836953,ERR4836954,ERR4836956,ERR4836957,ERR4836958,ERR4836959,ERR4836960,ERR4836961,ERR4836962,ERR4836963,ERR4836964,ERR4836965,ERR4836966,ERR4968552,ERR4968553,ERR4968554,ERR4968555,ERR4968556,ERR4968557,ERR4968558,ERR4968559,ERR4968560,ERR4968562,ERR4968563,ERR4968564,ERR4968565,ERR4968566,ERR4968567,ERR4968568,ERR4968569,ERR4968570,ERR4968571,ERR4968572,ERR4968574,ERR4968575,ERR4968576,ERR4968577,ERR4968578,ERR4968579,ERR4968580,ERR4968581,ERR4968582,ERR4968584,ERR4968585,ERR4968586,ERR4968587,ERR4968588,ERR4968589,ERR4968590,ERR4968592,ERR4968593,ERR4968594,ERR4968595,ERR4968596,ERR4968597,ERR4968598,ERR4968599,ERR4968600,ERR4968601,ERR4968602,ERR4968603,ERR4968604,ERR4968605,ERR4968606,ERR4968608,ERR4968671,ERR4968673,ERR4968678,ERR4968681,ERR4968687,ERR4968704,ERR4968705,ERR4968711,ERR4968712,ERR4969053,ERR4969151,ERR4992195,ERR4992208,ERR4993373,ERR4993378,ERR4993381,ERR4993382,ERR4993662
ERR4836966_bin.39,0,0,0,0,0,0,0,0,0,0,0,0,0,30457,40043,0,72636,0,0,0,0,0,25701,0,0,0,0,0,0,0,0,77791,115228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56606,0,0,0,379487,0,0,0,76310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39667,0,0,0,0,0,0,0,0,0,34818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47870,365074,0,0,0,0,0,0,0,0,0,0,0,14126,0,0,0,0,0,0,0,0,16495,0,0,0,0,0,0,0,0,0,16280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20246,0,0,0,0,0,0,36567,0,26746,0,0,0,0,0,190791,0,0,0,0,0,0,0,0,0
ERR4836966_bin.38,0,0,4680,5668,0,0,0,10310,0,0,0,0,0,7217,0,0,5302,0,0,5461,16305,0,4167,0,0,0,0,0,0,0,0,5804,9461,0,0,0,5471,0,35663,0,0,0,0,0,0,0,0,45082,0,9800,0,36278,0,4119,0,18692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15738,3365,0,0,0,0,0,0,0,0,0,0,8660,0,0,0,0,0,0,0,0,0,18887,0,0,0,0,7886,0,0,0,0,0,4931,23259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6937,0,0,0,0,0,0,0,7241,3740,3673,5278,23049,0,0,0,0,0,10153,0,15229,0,0,0,0,0,0,0,0,0,0,0,0,75857,61706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,0,0,0,0,12386,0,0,0,0,11680,0,0,4960,0,9859,0,0,0,0,10069,0,7431,0,0,0,0,0,0,0,20895,0,0,0,0,5253,0,4750,0,13430,0,0,0,13339,0,21678,0,0,0,0,7697,0,19294,0,0
ERR4303151bin.6,51101,1889457,52367,12317,0,0,11232,23231,132699,0,520831,0,202033,1009520,0,0,28705,0,262549,936534,307322,1248856,25842,167335,0,52320,0,322344,0,0,243134,99605,0,0,0,0,19087,0,45808,547292,1130240,52310,136739,447159,0,0,189444,57129,509762,129712,410714,84554,352620,108473,310440,25029,0,0,0,0,12148,0,0,0,0,0,0,0,27965,0,0,71256,45177,0,0,0,0,18929,12788,0,0,0,0,18273,176489,21308,18186,0,0,0,155004,19420,0,11458,177648,0,13094,0,49159,0,13285,178945,35563,95969,14064,0,71932,229960,602730,0,153972,198736,99698,0,62001,75071,161202,39997,63423,0,0,0,0,9482,8554,0,8032,22872,8375,24126,117372,26601,18761,116895,18173,0,1227666,0,0,14463,41000,19883,0,0,90287,22468,52581,0,0,0,18061,81937,1310043,0,0,77136,0,30456,0,0,0,0,56046,731116,35523,0,0,430325,29652,90542,49883,88857,26395,0,8830,0,45306,0,24822,0,0,35491,0,0,0,16841,0,0,13313,0,0,576498,0,9252,0,192801,0,13241,16565,39782,0,0,14280,16030,314703,0,0,0,103099,0,15178,0,60253,0,186106,0,0,0,0,126645,1507452,0,0,181893,93922,0,0,41749,125463,217079,123281,298788,0,81588,6713963,0,0,44826,38804,401314,76000,234780,546480
ERR4303159bin.34,7829,0,0,0,0,0,0,13130,0,0,0,67276,0,0,0,0,0,211332,0,58411,0,0,0,0,0,55284,0,0,0,0,0,0,0,0,126021,0,0,13446,0,105560,45692,0,0,129989,0,0,0,0,916382,0,0,13986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213587,0,0,0,0,0,35303,0,0,0,0,0,0,25929,0,0,0,0,19321,0,0,0,0,20480,0,0,0,9453,0,0,0,0,0,0,0,0,0,49672,0,0,12137,0,0,0,437825,0,68539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34460,0,0,0,0,0,0,0,0,0,10839,0,0,0,0,21748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30442,0,6859,0,0,0,7966,0,0,0,0,0,21316,0,0,0,0,0,178751,0,0,28905,0,0,0,0,0,0,0,0,0
ERR4304455bin.34,0,0,18559,26752,0,191567,0,0,0,0,15160,0,0,23325,0,0,0,0,0,0,0,0,0,15349,0,0,0,0,61163,0,33670,82942,27407,0,0,0,0,0,0,108290,0,0,0,27962,0,0,60523,136107,736634,43780,0,0,748807,84219,0,31023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20645,0,0,0,0,58265,0,0,0,0,23167,42253,50051,0,22765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18470,0,0,0,0,23635,62872,0,0,0,0,89955,0,0,0,0,0,0,0,0,0,0,12117,89396,21470,0,0,0,0,0,0,0,0,0,55079,0,0,0,0,0,0,0,23899,47709,0,0,303868,0,11903,0,0,0,0,224172,0,0,0,0,0,0,0,134113,86130,0,37446,33616,0,0,0,0,0,14916,0,0,0,0,0,0,17094,0,0,0,0,34682,0,0,0,0,0,0,50628,0,107072,29056,43453,0,0,0,0,0,0,62156,0,22994,0,0,0,82577,221081,0,0,0,34341,0,0,0,85383,83553,0,0,0,124548,0,0,125610,0,24102,38916,266025,0,62740,26835,0,0,0,0
ERR4968678_bin.68,11976,0,26044,184858,0,0,32696,20777,20643,0,39811,0,0,33128,0,0,85426,0,0,186094,19806,0,111087,0,0,32086,0,15020,57566,0,0,738230,14643,0,25299,0,19690,0,0,63154,122979,0,0,35650,0,0,312348,17496,109144,45336,0,31041,0,0,55271,52444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39722,0,0,0,0,0,0,8126,0,0,0,15311,0,94340,88569,0,0,0,14505,37847,12022,0,0,16245,0,16433,0,20948,0,0,0,0,68907,0,0,118002,28132,29692,0,71487,60090,46948,0,58465,38295,27097,0,110956,0,0,0,0,42257,0,0,0,8188,23589,0,0,0,40347,108045,0,0,285721,0,26888,0,33879,14692,0,0,0,0,21590,41350,13587,11596,99804,47063,0,0,0,20182,56296,0,0,0,0,0,98398,0,0,0,0,29513,0,36493,0,41999,91409,0,0,22704,31633,0,27748,0,0,24299,0,0,23850,0,11313,10212,0,0,0,0,0,22805,17019,0,46870,26986,51096,25640,0,0,0,0,0,0,0,0,92859,0,31262,0,23963,0,0,0,0,0,0,175760,0,0,0,165521,27658,17738,0,165873,131260,61121,96780,187007,0,73002,0,90581,0,41635,53316,0,52688,46001,79522
ERR4303197bin.62,3138,0,0,0,0,0,0,10948,0,0,0,0,0,0,0,0,0,0,0,33813,0,0,0,0,0,0,0,0,0,0,0,192835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282611,0,0,0,0,0,5639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,15288,0,0,0,0,184284,0,0,0,10354,0,0,0,0,0,0,0,0,0,0,0,8346,34923,0,0,0,0,0,0,0,0,0,0,0,0,3805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,0,0,0,0,0,0,0,2910,19480,0,0,0,0,0,14220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39204,0,3781,0,32150,0,0,0,0,0,0,0,0,0,0,0,6640,0,240154,0,0,0,0,0,0,77018,0,0,0,0,5019,29614,0,0,0,0,0,89263,0,0,0,0,0,14316,0,0,0,0,0
ERR4303137bin.30,0,0,335405,0,0,0,11486,38632,0,0,0,0,0,120303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12148,0,0,0,30205,0,0,0,0,0,0,0,0,0,0,102038,0,0,0,0,0,39420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44606,0,0,0,0,0,0,0,0,0,0,0,19488,25656,0,0,0,0,0,0,87845,0,0,0,47953,0,0,0,0,0,0,0,0,0,0,0,0,0,18305,0,0,0,0,0,0,0,0,0,0,0,0,26888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42714,0,0,0,0,0,0,0,0,0,0,0,0,98922,0,0,0,0,0,0,0,0,0,90952,0,0,0,0,0,0,76929,0,0,0,0,0,0,0,18880,0,0,0,0,0,0,0,0,0,0,28160,0,20645,0,9981,0,0,0,0,0,0,10973,0,0
ERR4303137bin.34,0,0,116367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112850,0,38943,0,0,0,0,0,0,0
ERR4303137bin.35,0,0,527605,0,0,0,57979,0,0,0,0,0,0,466450,0,0,0,0,0,0,0,0,0,46489,0,0,0,0,0,0,0,0,131871,0,153478,0,0,0,0,0,0,0,0,0,0,0,0,426481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66037,0,0,0,0,0,30429,0,0,0,0,0,0,0,27235,0,0,0,0,0,0,38768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136613,18382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
